"%name,","%name,"
" for more information or "," for more information or "
"API Endpoint","API Endpoint"
"API Key","API Key"
"API Password","API Password"
"API User","API User"
"AWB created: %1","AWB created: %1"
"AWB creation is already queued for shipment #%1.","AWB creation is already queued for shipment #%1."
"AWB queued","AWB queued"
"All shipments on this order already have a Bookurier AWB.","All shipments on this order already have a Bookurier AWB."
"Are you sure you want to delete the Bookurier AWB?","Are you sure you want to delete the Bookurier AWB?"
"Available in Checkout","Available in Checkout"
"Back to Order","Back to Order"
"Base endpoint without path, e.g. https://portal.bookurier.ro or http://bookurier.local","Base endpoint without path, e.g. https://portal.bookurier.ro or http://bookurier.local"
"Billing Info","Billing Info"
"Bookurier","Bookurier"
"Bookurier AWB","Bookurier AWB"
"Bookurier AWB Code(s)","Bookurier AWB Code(s)"
"Bookurier AWB Options","Bookurier AWB Options"
"Bookurier AWB created. Order moved to Processing.","Bookurier AWB created. Order moved to Processing."
"Bookurier Email Shipment Items List","Bookurier Email Shipment Items List"
"Bookurier Shipment (Multi) - Customer","Bookurier Shipment (Multi) - Customer"
"Bookurier Shipment (Multi) - Guest","Bookurier Shipment (Multi) - Guest"
"Bookurier delivery confirmed for AWB %1 (%2). Order closed automatically.","Bookurier delivery confirmed for AWB %1 (%2). Order closed automatically."
"Bucuresti 24h","Bucuresti 24h"
"Bucuresti Today","Bucuresti Today"
"Calculate Handling Fee","Calculate Handling Fee"
"Cannot print Bookurier AWB. Remove orders without Bookurier AWB and try again.","Cannot print Bookurier AWB. Remove orders without Bookurier AWB and try again."
"Cannot print Bookurier AWB. Remove orders without Bookurier AWB and try again. Missing: %1","Cannot print Bookurier AWB. Remove orders without Bookurier AWB and try again. Missing: %1"
"Carrier:","Carrier:"
"Close Window","Close Window"
"Confirmation","Confirmation"
"Create AWB\\n(%1 remaining)","Create AWB\\n(%1 remaining)"
"Create Bookurier AWB","Create Bookurier AWB"
"Create Bookurier AWB for selected orders? If you select more than 10 orders, they will be queued and require Magento cron to process.","Create Bookurier AWB for selected orders? If you select more than 10 orders, they will be queued and require Magento cron to process."
"Default Packs","Default Packs"
"Default Pickup Point","Default Pickup Point"
"Default Service Code","Default Service Code"
"Default Weight (kg)","Default Weight (kg)"
"Delete Bookurier AWB","Delete Bookurier AWB"
"Deleted %1 Bookurier AWB(s).","Deleted %1 Bookurier AWB(s)."
"Displayed Error Message","Displayed Error Message"
"Eligible Shipments","Eligible Shipments"
"Enable Order Grid Print Button","Enable Order Grid Print Button"
"Enabled","Enabled"
"Error:","Error:"
"Exception during API request.","Exception during API request."
"Exchange Pack","Exchange Pack"
"Failed to create AWB.","Failed to create AWB."
"Failed to delete Bookurier AWB.","Failed to delete Bookurier AWB."
"Failed to print Bookurier AWB.","Failed to print Bookurier AWB."
"Failed to process %1 order(s) for Bookurier AWB creation.","Failed to process %1 order(s) for Bookurier AWB creation."
"HTML","HTML"
"Handling Fee","Handling Fee"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"Ilfov Extins","Ilfov Extins"
"Info:","Info:"
"Insurance Value","Insurance Value"
"Invalid JSON response from Bookurier.","Invalid JSON response from Bookurier."
"Items","Items"
"Last synced:","Last synced:"
"Method Name","Method Name"
"Metropolitan","Metropolitan"
"Missing Bookurier API key.","Missing Bookurier API key."
"Mock API Response","Mock API Response"
"Mocked Bookurier response.","Mocked Bookurier response."
"N/A","N/A"
"National 24","National 24"
"National Economic","National Economic"
"National Premium","National Premium"
"No AWB code returned by Bookurier.","No AWB code returned by Bookurier."
"No AWB yet","No AWB yet"
"No Bookurier AWB found for selected orders.","No Bookurier AWB found for selected orders."
"No Bookurier AWB found for this order.","No Bookurier AWB found for this order."
"No orders selected.","No orders selected."
"Notes","Notes"
"Notify Customer on AWB Creation","Notify Customer on AWB Creation"
"Order ID is missing.","Order ID is missing."
"Order does not use Bookurier shipping.","Order does not use Bookurier shipping."
"Order has no shipment to attach AWB. Create a shipment first.","Order has no shipment to attach AWB. Create a shipment first."
"Order is not shipped with Bookurier.","Order is not shipped with Bookurier."
